# radioglobe coastline data
# generated by mkcoast from Natural Earth GeoJSON
> 56
-16.1529 180.0000
-16.2143 179.8481
-16.2215 179.7889
-16.2076 179.7150
-16.2232 179.6353
-16.2499 179.5518
-16.2941 179.4751
-16.3799 179.3592
-16.3986 179.2936
-16.4052 179.2246
-16.4375 179.0914
-16.4828 178.9605
-16.5400 178.8657
-16.6314 178.8051
-16.6342 178.7445
-16.6656 178.6863
-16.6485 178.6343
-16.6219 178.5836
-16.6639 178.5678
-16.7005 178.5420
-16.7261 178.5138
-16.7879 178.4975
-16.8006 178.6037
-16.8513 178.6381
-16.9200 178.6650
-16.9762 178.7066
-16.9521 178.8029
-16.8860 178.8837
-16.9040 178.9504
-16.9002 179.0068
-16.8136 179.0555
-16.7127 179.2023
-16.7104 179.3005
-16.7181 179.3233
-16.7697 179.3460
-16.7920 179.3750
-16.8065 179.4193
-16.8061 179.4654
-16.7870 179.5890
-16.7436 179.7147
-16.7369 179.8208
-16.7444 179.9279
-16.6670 179.8900
-16.5836 179.9060
-16.5517 179.9266
-16.5194 179.9304
-16.5185 179.8850
-16.5375 179.8410
-16.6319 179.6971
-16.7475 179.5682
-16.6369 179.5642
-16.5277 179.6191
-16.4463 179.7481
-16.3703 179.7938
-16.3017 179.8482
-16.1686 179.9992

> 8
-17.0542 177.2575
-17.0486 177.2874
-17.1049 177.2758
-17.1471 177.2342
-17.1639 177.1828
-17.0843 177.2102
-17.0594 177.2393
-17.0542 177.2575

> 8
0.7913 127.3727
0.8475 127.3538
0.8620 127.3198
0.8425 127.2928
0.8119 127.2864
0.7694 127.3061
0.7584 127.3384
0.7913 127.3727

> 9
24.6851 -81.3223
24.7500 -81.4201
24.7326 -81.4217
24.6663 -81.3791
24.6363 -81.3791
24.6299 -81.3648
24.6505 -81.3348
24.6676 -81.3198
24.6851 -81.3223

> 7
24.8463 -80.7994
24.8179 -80.8389
24.8037 -80.8483
24.8037 -80.8294
24.8210 -80.7868
24.8353 -80.7852
24.8463 -80.7994

> 5
24.9411 -80.6257
24.8984 -80.6651
24.9032 -80.6383
24.9379 -80.6146
24.9411 -80.6257

> 1154
-31.6272 129.5688
-31.6600 129.1877
-31.7026 128.9462
-31.8877 128.5461
-32.0665 128.0677
-32.1513 127.6780
-32.2641 127.3198
-32.2969 127.0841
-32.3109 126.7793
-32.2568 126.1365
-32.2970 125.9172
-32.5059 125.5675
-32.5565 125.4637
-32.6145 125.2666
-32.8827 124.7588
-32.9401 124.5246
-32.9584 124.3732
-33.0152 124.2438
-33.1294 124.1261
-33.4463 123.9672
-33.5964 123.8684
-33.8363 123.6504
-33.9162 123.5068
-33.9054 123.3654
-33.9883 123.2076
-33.9006 123.0676
-33.8838 122.9557
-33.8908 122.7775
-33.9918 122.1510
-33.8744 122.0611
-33.8567 121.9464
-33.8625 121.7297
-33.8268 121.4051
-33.8713 120.8146
-33.9197 120.5306
-33.9631 120.4184
-33.9354 120.2094
-33.9747 119.8541
-34.0415 119.7291
-34.1012 119.6352
-34.3683 119.4506
-34.4564 119.2477
-34.4594 119.0813
-34.4799 118.8953
-34.7371 118.5201
-34.9866 118.1355
-35.0133 118.0064
-35.0550 117.8631
-35.0749 117.6754
-35.0978 117.5819
-35.0337 117.1439
-35.0266 116.8654
-34.9879 116.5172
-34.8658 116.2171
-34.7950 115.9867
-34.5261 115.7263
-34.4258 115.5650
-34.3039 115.2776
-34.3085 115.1948
-34.3418 115.1279
-34.2559 115.0088
-34.1451 115.0057
-34.0512 114.9734
-33.8042 114.9757
-33.5153 114.9938
-33.5803 115.0989
-33.6435 115.1816
-33.6399 115.3588
-33.5313 115.5153
-33.3723 115.6045
-33.1929 115.6830
-33.0021 115.6709
-32.6670 115.6186
-32.5966 115.6543
-32.5680 115.7079
-32.4011 115.7254
-31.8879 115.7381
-31.6945 115.6984
-31.3025 115.4546
-30.9618 115.2943
-30.8080 115.1769
-30.5604 115.0779
-30.2162 114.9945
-30.0423 114.9688
-29.7216 114.9421
-29.5397 114.9714
-29.4336 114.9590
-29.1430 114.8568
-28.8718 114.6284
-28.7717 114.5906
-28.6662 114.5918
-28.5429 114.5374
-28.2949 114.3535
-28.0807 114.1651
-27.9765 114.1335
-27.5442 114.0984
-27.3473 114.0281
-26.8478 113.7094
-26.4174 113.3330
-26.2414 113.2311
-26.1822 113.1848
-26.1742 113.2107
-26.1973 113.2531
-26.2402 113.3001
-26.2438 113.3232
-26.2083 113.3453
-26.1261 113.3429
-26.0805 113.3561
-26.1056 113.3890
-26.1980 113.4274
-26.4367 113.5466
-26.5581 113.5816
-26.5951 113.7337
-26.5633 113.7804
-26.5006 113.8364
-26.3321 113.8528
-26.2560 113.7758
-26.2236 113.7064
-26.0986 113.5891
-25.8983 113.5134
-25.7133 113.3953
-25.6472 113.3974
-25.5991 113.4514
-25.6252 113.5395
-25.7316 113.6212
-25.8308 113.7131
-26.0042 113.6979
-26.0517 113.6836
-26.0917 113.6917
-26.1298 113.7237
-26.1598 113.7658
-26.1158 113.8118
-26.0145 113.8539
-26.0276 113.8799
-26.2587 113.9424
-26.3215 113.9920
-26.3937 114.0903
-26.3375 114.1760
-26.2895 114.2157
-26.1264 114.2033
-25.9688 114.2285
-25.8516 114.2143
-25.5448 113.9928
-25.1657 113.7924
-24.9771 113.6708
-24.6930 113.5692
-24.5946 113.5035
-24.4356 113.4177
-24.2540 113.4130
-24.1323 113.4213
-23.8696 113.4898
-23.7328 113.5529
-23.4182 113.7570
-23.2825 113.7670
-23.1805 113.7648
-23.0236 113.7949
-22.9146 113.7951
-22.8129 113.7679
-22.6378 113.6828
-22.3321 113.7950
-21.9392 113.9584
-21.8814 114.0229
-21.8286 114.1239
-21.9098 114.1426
-22.1813 114.0928
-22.3233 114.1639
-22.4831 114.1416
-22.4559 114.2052
-22.4254 114.3035
-22.3415 114.3777
-22.2610 114.4170
-21.9422 114.6028
-21.8234 114.7093
-21.7359 114.8591
-21.6306 115.1617
-21.4917 115.4562
-21.3581 115.5961
-21.2423 115.7715
-21.1167 115.8936
-21.0304 116.0109
-20.7134 116.6059
-20.6538 116.7067
-20.6471 116.8363
-20.6576 116.9953
-20.6409 117.1391
-20.7131 117.2928
-20.7212 117.4063
-20.6428 117.6839
-20.5726 117.8323
-20.4190 118.0873
-20.3752 118.1992
-20.3267 118.4583
-20.2619 118.7515
-19.9953 119.1045
-20.0123 119.3588
-20.0383 119.5859
-19.9584 119.7678
-19.9095 120.1963
-19.8420 120.4337
-19.6650 120.8784
-19.6044 120.9979
-19.4779 121.1798
-19.3199 121.3377
-19.1064 121.4936
-18.9151 121.5895
-18.8166 121.6307
-18.6600 121.7220
-18.5359 121.7849
-18.4771 121.8338
-18.3937 122.0063
-18.1591 122.2621
-18.1119 122.3454
-18.0369 122.3609
-17.9949 122.3058
-17.9686 122.2374
-17.7203 122.1913
-17.5490 122.1475
-17.4284 122.1432
-17.3137 122.1603
-17.1357 122.2609
-17.0594 122.3327
-16.9704 122.4320
-16.9429 122.5226
-16.8649 122.5979
-16.7877 122.7204
-16.7102 122.7721
-16.5524 122.8480
-16.4326 122.9168
-16.4368 122.9707
-16.7153 123.0744
-16.8631 123.1421
-17.0368 123.2659
-17.2928 123.3832
-17.4100 123.4788
-17.4857 123.5252
-17.5209 123.5631
-17.4723 123.5715
-17.4154 123.5618
-17.2199 123.6079
-17.0827 123.5863
-17.0304 123.5936
-17.0083 123.6177
-17.0232 123.6641
-17.0998 123.7538
-17.1271 123.7990
-17.1208 123.8311
-16.9969 123.8295
-16.9187 123.8744
-16.8647 123.8563
-16.8678 123.7781
-16.8010 123.7450
-16.7236 123.6805
-16.6681 123.6071
-16.5407 123.5180
-16.4907 123.4904
-16.4676 123.5251
-16.4709 123.5813
-16.4163 123.6260
-16.3431 123.6465
-16.2240 123.6070
-16.1799 123.6475
-16.1925 123.7289
-16.3823 123.8592
-16.3636 123.9152
-16.2869 123.9613
-16.2649 124.0444
-16.2788 124.1298
-16.3336 124.1860
-16.3883 124.3004
-16.3820 124.4527
-16.3952 124.5300
-16.3861 124.6924
-16.4026 124.7720
-16.3733 124.7570
-16.3388 124.6692
-16.3318 124.5703
-16.3353 124.4545
-16.2989 124.4049
-16.2030 124.3883
-16.1335 124.4164
-16.1038 124.4346
-16.1163 124.5100
-16.1137 124.5769
-16.0201 124.5851
-15.9375 124.6086
-15.8702 124.6485
-15.8055 124.6483
-15.8227 124.6066
-15.9725 124.5043
-15.8506 124.4553
-15.7582 124.3816
-15.6259 124.3966
-15.4936 124.4396
-15.4754 124.5057
-15.4963 124.5616
-15.4188 124.6443
-15.3597 124.6909
-15.3110 124.6802
-15.2736 124.6926
-15.2853 124.7505
-15.4043 124.9721
-15.4665 125.0164
-15.4423 125.0630
-15.3745 125.0779
-15.3067 125.0729
-15.3170 125.0240
-15.3101 124.9092
-15.2720 124.8827
-15.2405 124.8927
-15.1607 124.8391
-15.1100 124.9142
-15.1066 124.9787
-15.0719 125.0233
-15.0244 125.0240
-15.0041 125.0382
-15.0323 125.0729
-15.0454 125.1887
-15.1068 125.3023
-15.1198 125.3557
-15.0868 125.3756
-15.0156 125.3838
-14.9445 125.2433
-14.8746 125.2395
-14.7940 125.1804
-14.7147 125.1787
-14.6484 125.2665
-14.5841 125.2846
-14.5579 125.3354
-14.5568 125.4359
-14.5022 125.5037
-14.4832 125.5798
-14.3616 125.5983
-14.2781 125.5971
-14.2566 125.6277
-14.2914 125.7046
-14.3880 125.6813
-14.4802 125.6810
-14.5295 125.6616
-14.5254 125.6905
-14.5049 125.7084
-14.4443 125.7385
-14.4691 125.8195
-14.5339 125.8396
-14.5973 125.8501
-14.6180 125.8906
-14.5204 125.9461
-14.4945 126.0207
-14.3713 126.0166
-14.2830 126.0448
-14.2167 126.0536
-14.1844 126.1009
-14.1141 126.1113
-14.0655 126.0734
-13.9772 126.0539
-13.9577 126.1190
-14.0021 126.1843
